"DateTime","Number of sales","Sales USD"
"2022-08-03 00:00:00",384,584038.99
"2022-08-04 00:00:00",167,319966.74
"2022-08-05 00:00:00",529,449983.78
"2022-08-06 00:00:00",152,267629.07
"2022-08-07 00:00:00",137,355025.84
"2022-08-08 00:00:00",552,979775.9
"2022-08-09 00:00:00",190,462609.67
"2022-08-10 00:00:00",1198,933817.51
"2022-08-11 00:00:00",248,563216.23
"2022-08-12 00:00:00",523,474101.97
"2022-08-13 00:00:00",160,193997.02
"2022-08-14 00:00:00",160,369025.36
"2022-08-15 00:00:00",207,551807.2
"2022-08-16 00:00:00",147,174692.45
"2022-08-17 00:00:00",729,513854.04
"2022-08-18 00:00:00",161,225256.06
"2022-08-19 00:00:00",192,302880.36
"2022-08-20 00:00:00",140,205980.96
"2022-08-21 00:00:00",140,234848.92
"2022-08-22 00:00:00",583,724250.89
"2022-08-23 00:00:00",200,626375.32
"2022-08-24 00:00:00",655,513130.94
"2022-08-25 00:00:00",248,432028.34
"2022-08-26 00:00:00",429,448634.42
"2022-08-27 00:00:00",237,556510.42
"2022-08-28 00:00:00",164,541255.28
"2022-08-29 00:00:00",161,307708.63
"2022-08-30 00:00:00",130,419919.51
"2022-08-31 00:00:00",144,407478.55
"2022-09-01 00:00:00",203,534017.98
"2022-09-02 00:00:00",191,400472.92
"2022-09-03 00:00:00",112,161330.72
"2022-09-04 00:00:00",83,188175.52
"2022-09-05 00:00:00",103,123520.49
"2022-09-06 00:00:00",101,101968.37
"2022-09-07 00:00:00",721,919430.19
"2022-09-08 00:00:00",249,500829.81
"2022-09-09 00:00:00",394,401228.21
"2022-09-10 00:00:00",127,258192.9
"2022-09-11 00:00:00",129,174262.06
"2022-09-12 00:00:00",774,565815.04
"2022-09-13 00:00:00",151,167812.87
"2022-09-14 00:00:00",96,183339.14
"2022-09-15 00:00:00",107,166044.56
"2022-09-16 00:00:00",373,297062.99
"2022-09-17 00:00:00",179,153458.39
"2022-09-18 00:00:00",87,71500.37
"2022-09-19 00:00:00",410,340693.8
"2022-09-20 00:00:00",146,268618.85
"2022-09-21 00:00:00",654,1082645.82
"2022-09-22 00:00:00",159,909311.27
"2022-09-23 00:00:00",439,316827.98
"2022-09-24 00:00:00",109,460798.98
"2022-09-25 00:00:00",137,409821.46
"2022-09-26 00:00:00",225,254850.97
"2022-09-27 00:00:00",186,327696.39
"2022-09-28 00:00:00",365,376745.79
"2022-09-29 00:00:00",177,330564.98
"2022-09-30 00:00:00",505,431946.11
"2022-10-01 00:00:00",98,218921.89
"2022-10-02 00:00:00",132,332797.66
"2022-10-03 00:00:00",328,253553.61
"2022-10-04 00:00:00",195,274704.04
"2022-10-05 00:00:00",991,1025554.72
"2022-10-06 00:00:00",373,854467.84
"2022-10-07 00:00:00",875,989950.21
"2022-10-08 00:00:00",187,425495.49
"2022-10-09 00:00:00",124,86208.67
"2022-10-10 00:00:00",152,467424.93
"2022-10-11 00:00:00",207,300566.9
"2022-10-12 00:00:00",704,632134.19
"2022-10-13 00:00:00",192,715385.32
"2022-10-14 00:00:00",615,669453.58
"2022-10-15 00:00:00",169,201763.79
"2022-10-16 00:00:00",104,91283.26
"2022-10-17 00:00:00",380,568944.32
"2022-10-18 00:00:00",175,335404.98
"2022-10-19 00:00:00",736,813893.12
"2022-10-20 00:00:00",164,395641.96
"2022-10-21 00:00:00",158,311943.84
"2022-10-22 00:00:00",135,150680.87
"2022-10-23 00:00:00",177,245935.45
"2022-10-24 00:00:00",308,527440.72
"2022-10-25 00:00:00",521,615168.3
"2022-10-26 00:00:00",407,694743
"2022-10-27 00:00:00",299,471894.85
"2022-10-28 00:00:00",248,859081.81
"2022-10-29 00:00:00",183,551792.92
"2022-10-30 00:00:00",237,205056.38
"2022-10-31 00:00:00",791,1454400.9
"2022-11-01 00:00:00",593,1594816.11
"2022-11-02 00:00:00",350,1032984.51
"2022-11-03 00:00:00",3883,1925239.69
"2022-11-04 00:00:00",3776,1934453.66
"2022-11-05 00:00:00",2817,2545579.82
"2022-11-06 00:00:00",2293,1567248.08
"2022-11-07 00:00:00",3861,3064973.06
"2022-11-08 00:00:00",2683,1621262.59
"2022-11-09 00:00:00",908,815917.57
"2022-11-10 00:00:00",618,423365.6
"2022-11-11 00:00:00",461,327895.42
"2022-11-12 00:00:00",568,360567.8
"2022-11-13 00:00:00",331,111311.54
"2022-11-14 00:00:00",457,259318.89
"2022-11-15 00:00:00",496,272506.91
"2022-11-16 00:00:00",357,235587.93
"2022-11-17 00:00:00",368,245542.57
"2022-11-18 00:00:00",221,407554.22
"2022-11-19 00:00:00",220,289419.92
"2022-11-20 00:00:00",195,305246.42
"2022-11-21 00:00:00",229,275388.23
"2022-11-22 00:00:00",211,510844.72
"2022-11-23 00:00:00",151,171499.05
"2022-11-24 00:00:00",125,136083.95
"2022-11-25 00:00:00",195,155352.42
"2022-11-26 00:00:00",132,356349.96
"2022-11-27 00:00:00",150,154403.13
"2022-11-28 00:00:00",104,677274.53
"2022-11-29 00:00:00",139,278226.28
"2022-11-30 00:00:00",229,403693.97
"2022-12-01 00:00:00",177,502165.25
"2022-12-02 00:00:00",189,360972.33
"2022-12-03 00:00:00",302,346318.32
"2022-12-04 00:00:00",139,396389.3
"2022-12-05 00:00:00",303,826825.3
"2022-12-06 00:00:00",193,409239.03
"2022-12-07 00:00:00",192,289296.32
"2022-12-08 00:00:00",197,271741.41
"2022-12-09 00:00:00",167,555097.82
"2022-12-10 00:00:00",188,163092.44
"2022-12-11 00:00:00",163,246592.39
"2022-12-12 00:00:00",184,342324.16
"2022-12-13 00:00:00",174,331032.61
"2022-12-14 20:02:59",188,507156.38
